delta_wave_intensity,theta_wave_intensity,alpha_wave_intensity,beta_wave_intensity,gamma_wave_intensity,delta_wave_entropy,theta_wave_entropy,alpha_wave_entropy,beta_wave_entropy,gamma_wave_entropy,,emotion
0.5,8,13,13,45,0.5,4,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,13,13,36,4,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,13,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,8,13,30,4,4,13,13,30,,Happy
4,4,8,30,45,4,4,13,13,30,,Anger
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,25,30,,Happy
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,5,13,13,30,,Neutral
0.5,8,13,13,37,4,7,13,13,32,,Neutral
4,8,9,30,30,0.5,8,13,30,30,,Anger
4,4,8,13,30,0.5,4,10,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,8,13,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,8,13,30,30,,Anger
0.5,6,13,13,30,0.5,8,13,13,45,,Neutral
0.5,8,9,13,30,0.5,4,13,25,30,,Anger
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,8,13,13,30,,Anger
4,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,6,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,27,30,0.5,8,8,13,45,,Anger
0.5,4,8,13,40,0.5,5,13,13,30,,Anger
4,8,13,13,45,0.5,8,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
4,4,8,30,30,1,4,8,13,30,,Anger
0.5,8,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,8,13,30,45,0.5,8,8,14,45,,Anger
4,8,13,30,41,4,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,13,30,0.5,8,8,22,30,,Anger
0.5,4,8,13,30,4,8,8,17,30,,Anger
0.5,4,8,13,45,0.5,4,13,13,30,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,8,13,28,30,0.5,4,13,30,45,,Happy
0.5,8,13,13,39,0.5,4,13,13,30,,Neutral
4,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,11,30,30,,Anger
4,8,13,30,45,0.5,4,8,13,45,,Anger
0.5,4,8,13,45,4,8,8,30,45,,Anger
4,4,13,30,45,0.5,7,13,29,30,,Sad
0.5,8,13,14,45,4,8,8,30,45,,Anger
0.5,8,8,13,45,0.5,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,14,30,,Anger
4,8,13,30,45,4,8,13,29,30,,Anger
4,8,13,30,30,0.5,8,13,13,45,,Happy
4,4,8,15,30,4,8,8,13,30,,Happy
4,8,13,29,45,4,8,13,25,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,8,13,30,,Happy
4,8,13,30,41,4,8,13,30,30,,Anger
0.5,4,8,13,30,0.5,8,8,26,30,,Anger
0.5,4,8,13,45,0.5,8,13,30,30,,Anger
4,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
4,8,13,13,45,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
0.5,8,8,13,45,4,8,13,30,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,38,0.5,4,8,13,45,,Happy
0.5,4,8,13,44,4,4,8,13,30,,Happy
4,8,13,30,30,0.5,8,13,30,45,,Happy
4,8,13,30,30,4,4,13,13,30,,Sad
0.5,4,8,13,45,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,25,30,0.5,8,13,19,30,,Sad
0.5,8,13,13,45,4,4,13,13,30,,Neutral
2,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,43,4,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,8,13,13,45,0.5,4,13,13,33,,Neutral
0.5,8,13,13,36,4,8,13,13,30,,Neutral
4,4,8,30,30,4,8,13,30,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,8,13,30,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,4,8,8,30,30,,Happy
0.5,4,8,13,30,0.5,8,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,20,30,4,8,13,30,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,45,4,4,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,8,30,30,4,8,13,30,30,,Anger
4,4,8,14,30,4,8,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,45,4,4,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,30,4,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,35,,Neutral
4,8,8,30,45,4,4,13,30,45,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,16,30,,Neutral
3,8,12,13,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,30,45,,Sad
4,8,13,30,30,4,8,8,13,33,,Sad
4,8,8,13,45,0.5,8,8,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
4,8,13,13,43,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,30,0.5,4,8,13,30,,Anger
3,4,8,30,44,4,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,13,13,38,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,8,13,37,,Happy
4,4,8,30,30,4,4,8,13,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,4,8,24,30,0.5,8,8,22,45,,Anger
4,4,13,19,30,4,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,12,13,30,4,4,8,13,30,,Anger
4,4,8,30,30,4,8,8,30,30,,Anger
4,4,8,13,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,36,4,4,8,13,45,,Sad
0.5,8,13,13,45,4,8,8,30,30,,Happy
4,4,8,30,33,4,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,8,10,13,30,,Anger
4,8,13,30,30,4,8,13,30,41,,Anger
4,8,13,13,30,4,4,9,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,8,13,30,30,,Anger
0.5,4,8,13,30,4,4,13,13,45,,Sad
0.5,4,8,13,30,0.5,8,13,13,45,,Sad
4,6,8,30,30,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,13,30,0.5,4,8,30,30,,Anger
4,4,8,30,30,4,4,8,13,30,,Anger
0.5,4,8,13,30,3,4,8,13,30,,Happy
0.5,8,13,13,36,4,8,13,13,30,,Neutral
0.5,4,13,13,45,4,4,8,13,30,,Sad
4,8,13,30,30,0.5,8,13,13,30,,Sad
0.5,4,8,13,30,0.5,8,8,13,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,8,30,41,4,4,13,26,45,,Happy
0.5,4,8,13,45,0.5,8,8,30,30,,Anger
0.5,4,8,13,30,2,8,8,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,30,45,,Anger
0.5,8,13,13,30,4,4,8,13,45,,Sad
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,18,30,0.5,4,8,13,30,,Anger
4,8,13,13,41,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,30,30,4,8,13,13,45,,Anger
0.5,4,8,13,45,0.5,8,13,13,30,,Anger
0.5,8,13,13,45,0.5,8,13,30,30,,Anger
0.5,8,13,13,30,4,4,13,13,45,,Neutral
4,8,13,30,30,0.5,8,13,30,30,,Sad
0.5,4,8,13,30,0.5,8,8,18,30,,Anger
4,4,8,30,31,4,8,13,30,30,,Anger
4,8,13,30,30,3,4,11,19,30,,Sad
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,4,8,13,45,0.5,4,8,13,41,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,25,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,8,13,30,30,4,4,13,13,30,,Sad
0.5,8,13,13,30,4,4,8,13,37,,Happy
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,8,13,30,4,4,8,13,30,,Happy
4,4,8,30,30,0.5,8,8,21,30,,Anger
4,4,8,30,30,4,8,13,13,45,,Anger
0.5,4,8,13,30,0.5,8,13,13,36,,Anger
0.5,4,13,13,30,0.5,4,13,13,45,,Neutral
0.5,4,8,13,31,4,4,13,13,45,,Sad
4,8,13,30,45,4,8,8,19,45,,Anger
0.5,4,8,13,30,3,4,13,13,30,,Anger
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,4,8,26,30,3,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,30,45,4,8,13,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,15,30,4,8,8,30,45,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,13,13,30,0.5,4,13,13,45,,Neutral
0.5,4,8,13,30,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,8,13,45,,Sad
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,39,4,4,13,13,30,,Neutral
4,8,13,13,38,4,8,13,13,45,,Neutral
0.5,4,8,13,30,4,8,8,13,45,,Anger
4,4,8,21,30,4,8,13,13,30,,Happy
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,4,13,30,45,0.5,8,13,13,34,,Sad
3,4,8,13,36,0.5,4,13,13,30,,Anger
4,8,13,13,30,4,8,8,30,45,,Happy
0.5,4,8,13,30,4,8,13,30,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,4,4,11,30,30,,Sad
0.5,8,13,13,45,0.5,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,5,8,23,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,8,8,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,25,30,0.5,4,8,13,30,,Anger
4,4,8,13,41,4,4,8,13,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,33,,Neutral
0.5,4,8,13,30,2,4,8,13,30,,Anger
4,4,8,30,30,4,8,13,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,0.5,8,13,30,30,,Sad
4,4,8,20,30,4,4,8,13,30,,Happy
0.5,4,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,8,13,25,30,,Happy
0.5,8,13,13,45,4,8,13,30,30,,Anger
4,8,8,30,45,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,8,13,30,30,0.5,4,8,16,30,,Anger
0.5,8,8,13,30,4,4,8,19,43,,Happy
4,8,13,30,45,0.5,8,8,30,45,,Happy
0.5,8,8,13,45,0.5,4,8,13,30,,Happy
4,4,8,13,45,0.5,8,10,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,0.5,8,8,30,30,,Anger
4,8,13,13,45,0.5,8,13,13,30,,Neutral
0.5,4,8,13,36,0.5,4,8,27,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,43,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,4,13,30,30,,Anger
4,4,8,30,34,0.5,8,13,28,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,30,45,4,4,8,13,30,,Anger
4,4,8,26,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,8,8,13,45,,Anger
4,6,8,13,30,0.5,6,13,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,8,8,30,45,,Anger
4,8,13,13,30,4,8,13,29,30,,Anger
0.5,8,13,13,30,0.5,8,13,30,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,4,8,30,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,5,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,13,45,4,8,13,13,45,,Neutral
4,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,0.5,8,8,30,30,,Sad
0.5,8,13,13,30,4,4,13,13,37,,Neutral
4,8,13,30,45,4,8,13,13,30,,Happy
4,4,8,30,30,4,8,8,30,45,,Anger
0.5,4,8,13,45,4,4,8,30,30,,Anger
4,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,1,4,8,13,30,,Anger
4,4,8,30,30,0.5,8,13,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,13,30,4,4,13,29,30,,Sad
1,4,8,13,38,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,4,4,10,30,45,,Happy
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,45,4,4,10,30,30,,Happy
0.5,4,8,13,30,4,8,8,30,30,,Anger
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
0.5,8,13,13,45,4,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,45,0.5,8,13,23,30,,Anger
0.5,6,8,13,45,4,4,8,13,30,,Happy
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,42,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,4,8,8,13,45,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,2,4,13,13,30,,Neutral
0.5,4,8,13,34,0.5,4,13,30,30,,Anger
4,4,8,30,30,4,4,13,13,30,,Anger
4,4,8,30,30,0.5,4,8,30,45,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,30,30,,Happy
0.5,4,8,13,45,4,8,13,30,45,,Anger
0.5,4,8,13,30,4,8,8,30,30,,Anger
4,4,8,30,45,0.5,4,8,13,45,,Anger
4,4,8,30,30,4,8,13,30,30,,Anger
0.5,8,13,13,30,3,8,13,13,30,,Neutral
1,8,13,13,45,4,4,13,30,45,,Sad
4,8,13,30,30,0.5,8,13,29,30,,Sad
0.5,4,8,13,30,0.5,8,13,28,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,25,30,0.5,8,8,13,35,,Anger
0.5,8,8,13,30,4,8,13,13,45,,Happy
4,4,8,30,30,0.5,8,8,30,45,,Anger
0.5,8,13,13,45,4,8,13,30,30,,Anger
0.5,4,8,13,30,4,8,8,30,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,4,8,13,30,4,8,8,30,45,,Anger
0.5,4,8,13,45,0.5,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,14,30,,Anger
4,4,13,30,30,4,8,8,30,30,,Sad
0.5,8,13,13,45,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,8,13,13,45,4,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
2,8,13,13,32,4,8,13,13,36,,Neutral
0.5,4,8,13,30,4,8,13,13,30,,Anger
0.5,4,8,13,30,4,8,8,23,30,,Anger
4,4,8,17,30,0.5,4,8,13,30,,Anger
4,8,13,30,45,4,8,13,24,45,,Anger
0.5,4,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,8,8,13,30,,Sad
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,13,13,30,,Happy
4,4,8,13,30,0.5,8,13,13,30,,Anger
4,8,13,30,30,4,8,8,30,30,,Sad
4,4,8,18,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,45,,Happy
0.5,4,13,13,30,0.5,8,13,13,45,,Neutral
4,4,8,24,30,0.5,8,8,30,44,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,30,45,,Happy
4,8,8,30,45,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,7,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
4,8,13,13,30,4,8,8,13,45,,Anger
0.5,8,13,13,45,0.5,4,13,13,33,,Neutral
4,4,8,13,30,4,4,8,13,30,,Happy
4,8,13,13,30,0.5,8,13,13,30,,Neutral
2,4,8,13,30,0.5,4,13,30,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,45,4,4,8,13,45,,Anger
4,4,8,30,45,0.5,8,13,30,30,,Anger
0.5,4,8,13,36,0.5,4,13,26,30,,Anger
4,4,8,30,30,0.5,6,13,29,30,,Anger
4,8,13,13,30,4,8,13,13,30,,Neutral
0.5,5,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,30,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,30,30,,Happy
4,8,13,30,31,4,8,13,13,45,,Happy
0.5,4,8,13,40,0.5,8,8,30,30,,Anger
4,8,13,30,30,4,8,8,30,30,,Sad
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,3,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,45,4,4,13,13,45,,Neutral
0.5,4,13,13,30,0.5,4,13,13,45,,Neutral
0.5,8,13,13,43,0.5,4,8,13,30,,Sad
4,8,13,30,30,0.5,8,13,30,33,,Sad
4,8,13,25,30,0.5,8,13,30,30,,Sad
0.5,8,13,13,45,4,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,13,13,36,4,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,0.5,8,13,13,45,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,0.5,8,8,30,30,,Anger
4,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
4,8,13,13,45,0.5,4,13,13,30,,Neutral
4,4,8,30,45,4,8,13,30,30,,Anger
4,4,9,13,44,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,45,0.5,4,13,13,30,,Happy
0.5,8,13,13,45,4,8,13,13,30,,Neutral
4,8,13,13,30,0.5,8,13,13,30,,Neutral
4,4,8,30,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,30,39,0.5,4,8,13,30,,Anger
4,4,10,30,45,4,4,13,13,30,,Happy
4,8,13,30,44,4,8,8,30,45,,Anger
4,4,8,20,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,4,8,8,13,45,,Anger
4,4,8,30,30,4,8,8,30,30,,Anger
4,4,13,30,30,4,4,8,13,45,,Anger
0.5,8,13,13,30,4,8,8,13,38,,Happy
4,8,13,30,45,0.5,8,13,30,43,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,8,13,30,30,4,8,13,30,44,,Anger
0.5,4,8,13,30,4,8,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,34,,Neutral
0.5,4,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,10,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,4,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,7,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,45,0.5,8,13,30,45,,Anger
4,4,8,14,30,0.5,8,13,30,45,,Anger
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
4,4,8,30,36,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
